NUTS_ID,ON_COAST,
BE212,N,
BE211,Y,
BE251,Y,
BE231,N,
BE232,N,
BE233,N,
BE234,N,
BE236,Y,
BE253,N,
BE255,Y,
BE256,N,
BE257,N,
BE258,Y,
BE252,N,
CY000,Y,
BG331,Y,
BG332,Y,
BG341,Y,
DE502,Y,
DE600,Y,
DE936,N,
DE94A,Y,
DE94C,Y,
DE94D,N,
DE939,N,
DE932,Y,
DE941,N,
DE942,Y,
DE943,N,
DE945,Y,
DE947,Y,
DE946,N,
DE94G,Y,
DE94H,Y,
DE80M,Y,
DE80N,Y,
DE803,Y,
DE804,N,
DE80K,Y,
DE80L,Y,
DEF0B,Y,
DK011,Y,
DK012,Y,
DEF05,Y,
DEF0C,Y,
DK013,Y,
DK014,Y,
DEF07,Y,
DEF0E,N,
DK021,Y,
DK022,Y,
DK031,Y,
DK032,Y,
DK041,Y,
DK042,Y,
DK050,Y,
EE001,Y,
EE004,Y,
EE009,Y,
DEF08,Y,
DEF09,Y,
DEF01,Y,
DEF04,N,
DEF0A,Y,
DEF02,Y,
DEF03,Y,
EL431,Y,
EL514,N,
EL412,Y,
EL432,Y,
EL515,Y,
EL521,Y,
EL433,Y,
EL413,Y,
EL421,Y,
EL422,Y,
EL523,N,
EL522,Y,
EL434,Y,
EL511,Y,
EL512,Y,
EL513,Y,
EL411,Y,
EL305,Y,
EL306,Y,
EL307,Y,
EE00A,Y,
EL301,N,
EL302,Y,
EL303,N,
EL304,Y,
ES120,Y,
ES114,Y,
ES130,Y,
ES112,Y,
ES212,Y,
ES213,Y,
EL631,Y,
EL527,Y,
EL612,Y,
EL613,Y,
EL645,Y,
EL632,Y,
EL633,Y,
EL651,Y,
EL652,Y,
EL653,Y,
ES111,Y,
EL623,Y,
EL641,Y,
EL642,Y,
EL621,Y,
EL541,Y,
EL622,Y,
EL524,N,
EL542,Y,
EL525,Y,
EL644,Y,
EL624,Y,
EL643,N,
EL526,Y,
ES620,Y,
ES630,Y,
ES640,Y,
ES707,Y,
ES614,Y,
ES703,Y,
ES704,Y,
ES615,Y,
ES705,Y,
ES706,Y,
ES617,Y,
ES708,Y,
ES612,Y,
ES709,Y,
FI195,Y,
FI196,Y,
ES512,Y,
ES514,Y,
ES521,Y,
ES533,Y,
ES611,Y,
ES522,Y,
ES523,Y,
ES511,Y,
ES531,Y,
ES532,Y,
FRJ15,Y,
FRI32,Y,
FRI15,Y,
FRJ11,Y,
FRJ12,Y,
FRJ13,Y,
FI1D9,Y,
FI200,Y,
FI1D5,Y,
FI1D7,Y,
FI1B1,Y,
FI1C1,Y,
FI1C4,Y,
FI1C5,N,
FRH01,Y,
FRH02,Y,
FRG01,Y,
FRI12,Y,
FRI13,Y,
FRH03,Y,
FRH04,Y,
FRG05,Y,
UKM84,N,
UKM91,Y,
UKM71,Y,
UKM72,Y,
UKM73,Y,
UKM75,Y,
UKM76,Y,
UKN06,Y,
UKL24,N,
UKM62,Y,
UKM63,Y,
UKM64,Y,
UKM65,Y,
UKM66,Y,
UKL11,Y,
UKL12,Y,
UKM50,Y,
UKM61,Y,
UKL13,Y,
UKL14,Y,
UKL15,N,
UKL16,N,
UKK30,Y,
UKL17,Y,
UKL22,Y,
UKK41,Y,
UKK42,Y,
UKK43,Y,
UKL18,Y,
UKL21,Y,
UKL23,Y,
UKM94,Y,
UKM95,N,
UKN0C,Y,
UKN07,N,
UKN08,Y,
UKN09,Y,
UKN0A,Y,
UKN0B,N,
UKN0D,Y,
UKN0E,N,
UKN0F,Y,
UKM92,Y,
UKN0G,N,
UKM93,Y,
FRD12,Y,
FRD21,Y,
FRD22,Y,
FRE23,Y,
FRE11,Y,
FRE12,Y,
FRD11,Y,
FRY50,Y,
HR031,Y,
HR032,Y,
HR033,Y,
HR034,Y,
HR035,Y,
HR036,Y,
HR037,Y,
FRY40,Y,
FRM02,Y,
FRY10,Y,
FRL03,Y,
FRL04,Y,
FRY20,Y,
FRY30,Y,
FRL05,Y,
FRM01,Y,
IE041,Y,
IE042,Y,
IE051,Y,
IE052,Y,
IE053,Y,
ITC34,Y,
ITC31,Y,
ITC32,Y,
ITC33,Y,
IS001,Y,
IS002,Y,
IE061,Y,
IE062,Y,
ITG11,Y,
ITG15,Y,
ITG16,N,
ITG12,Y,
ITG2E,Y,
ITG17,Y,
ITG13,Y,
ITG2F,Y,
ITG18,Y,
ITF64,Y,
ITG2G,Y,
ITG2H,Y,
ITF65,Y,
ITG14,Y,
ITG19,Y,
ITG2D,Y,
ITF52,Y,
ITF45,Y,
ITF33,Y,
ITF12,Y,
ITF61,Y,
ITF46,Y,
ITF13,Y,
ITF34,N,
ITF63,Y,
ITF14,Y,
ITF47,Y,
ITF62,Y,
ITF35,Y,
ITF48,Y,
ITF22,Y,
ITF43,Y,
ITF31,Y,
ITF51,Y,
ITF44,Y,
ITF32,N,
ITI41,Y,
ITI31,Y,
ITI32,Y,
ITI43,Y,
LT023,Y,
ITI1A,Y,
ITI33,Y,
ITI44,Y,
ITI34,Y,
ITI45,N,
ITI16,Y,
ITI35,Y,
ITI17,Y,
ITI11,Y,
ITH36,Y,
ITI12,Y,
ITH37,Y,
ITH41,N,
ITH56,Y,
ITH42,Y,
ITH57,Y,
ITH34,N,
ITH43,Y,
ITH44,Y,
ITH58,Y,
ITH59,Y,
ITH35,Y,
NL124,Y,
NL125,Y,
NL126,N,
NL131,N,
NL342,Y,
NL411,N,
NL230,N,
NL323,Y,
NO091,Y,
NO092,Y,
NO0A1,Y,
NO0A2,Y,
NO0A3,Y,
NO060,Y,
NO071,Y,
NO074,Y,
NL324,Y,
NL325,N,
