2021 NUTS-3	2016 NUTS-3	2021 NUTS-2	2016 NUTS-2
BE224	BE221	HR05	N/A
BE225	BE222	HR06	N/A
BE328	BE324,BE327	HR02	N/A
BE32A	BE321	NO08	N/A
BE32B	BE322	NO09	N/A
BE32C	BE325	NO0A	N/A
BE32D	BE326		
EE009	EE006		
EE00A	EE007		
HR050	HR041		
HR065	HR042		
HR064	HR043		
HR062	HR044		
HR063	HR045		
HR061	HR046		
HR021	HR047		
HR022	HR048		
HR023	HR049		
HR024	HR04A		
HR025	HR04B		
HR026	HR04C		
HR027	HR04D		
HR028	HR04E		
ITG2D	ITG25,ITG29		
ITG2E	ITG26,ITG2A		
ITG2F	ITG27		
ITG2G	ITG28		
ITG2H	ITG2B,ITG2C		
UKK24	UKK21		
UKK25	UKK22		
UKN0A	UKN10		
UKN0B	UKN11		
UKN0C	UKN12		
UKN0D	UKN13		
UKN0E	UKN14		
UKN0F	UKN15		
UKN0G	UKN16		
NO081	NO011		
NO082	NO012,NO031		
NO020	NO021,NO022		
NO091	NO033,NO034		
NO092	NO041,NO042		
NO0A1	NO043		
NO0A2	NO051,NO052		
NO0A3	NO053		
NO060	NO061,NO062		
NO074	NO072,NO073		
