"NUTS code";"ITL code";"Region name"
"UKC";"TLC";"North East (England)"
"UKC1";"TLC1";"Tees Valley and Durham"
"UKC11";"TLC11";"Hartlepool and Stockton-on-Tees"
"UKC12";"TLC12";"South Teesside"
"UKC13";"TLC13";"Darlington"
"UKC14";"TLC14";"Durham"
"UKC2";"TLC2";"Northumberland, and Tyne and Wear"
"UKC21";"TLC21";"Northumberland"
"UKC22";"TLC22";"Tyneside"
"UKC23";"TLC23";"Sunderland"
"UKD";"TLD";"North West (England)"
"UKD1";"TLD1";"Cumbria"
"UKD11";"TLD11";"West Cumbria"
"UKD12";"TLD12";"East Cumbria"
"UKD3";"TLD3";"Greater Manchester"
"UKD33";"TLD33";"Manchester"
"UKD34";"TLD34";"Greater Manchester South West"
"UKD35";"TLD35";"Greater Manchester South East"
"UKD36";"TLD36";"Greater Manchester North West"
"UKD37";"TLD37";"Greater Manchester North East"
"UKD4";"TLD4";"Lancashire"
"UKD41";"TLD41";"Blackburn with Darwen"
"UKD42";"TLD42";"Blackpool"
"UKD44";"TLD44";"Lancaster and Wyre"
"UKD45";"TLD45";"Mid Lancashire"
"UKD46";"TLD46";"East Lancashire"
"UKD47";"TLD47";"Chorley and West Lancashire"
"UKD6";"TLD6";"Cheshire"
"UKD61";"TLD61";"Warrington"
"UKD62";"TLD62";"Cheshire East"
"UKD63";"TLD63";"Cheshire West and Chester"
"UKD7";"TLD7";"Merseyside"
"UKD71";"TLD71";"East Merseyside"
"UKD72";"TLD72";"Liverpool"
"UKD73";"TLD73";"Sefton"
"UKD74";"TLD74";"Wirral"
"UKE";"TLE";"Yorkshire and The Humber"
"UKE1";"TLE1";"East Yorkshire and Northern Lincolnshire"
"UKE11";"TLE11";"Kingston upon Hull, City of"
"UKE12";"TLE12";"East Riding of Yorkshire"
"UKE13";"TLE13";"North and North East Lincolnshire"
"UKE2";"TLE2";"North Yorkshire"
"UKE21";"TLE21";"York"
"UKE22";"TLE22";"North Yorkshire CC"
"UKE3";"TLE3";"South Yorkshire"
